Image Name		          3True Positive		True Negative		False Negative		False Positive		Good hits				Bad hits
soccer02_2320.png : (1.2247178819444444, 84.00857204861111, 1.0545789930555556, 13.71213107638889, 85.23328993055556, 14.766710069444445)
line_soccer_00187.png : (0.4172979797979798, 77.54797979797979, 0.7826178451178452, 21.252104377104377, 77.96527777777777, 22.03472222222222)
soccer02_2322.png : (0.7455512152777778, 80.89572482638889, 0.2349175347222222, 18.12380642361111, 81.64127604166667, 18.358723958333336)
soccer02_2336.png : (0.23459201388888887, 81.033203125, 0.5551215277777778, 18.177083333333332, 81.26779513888889, 18.73220486111111)
soccer02_2328.png : (0.3419053819444445, 82.11284722222221, 0.4117838541666667, 17.133463541666664, 82.45475260416666, 17.545247395833332)
soccer02_2355.png : (0.19628906249999997, 82.19791666666667, 0.5981987847222222, 17.00759548611111, 82.39420572916667, 17.605794270833332)
soccer02_2446.png : (0.3211805555555555, 87.30132378472221, 0.8414713541666667, 11.536024305555555, 87.62250434027777, 12.377495659722223)
line_soccer_00175.png : (0.6823442760942761, 73.37321127946129, 1.185395622895623, 24.75904882154882, 74.05555555555556, 25.944444444444443)
line_soccer_00245.png : (1.3256523569023568, 84.10869107744108, 1.4381313131313131, 13.127525252525253, 85.43434343434343, 14.565656565656566)
soccer02_2347.png : (0.9595269097222222, 84.57356770833333, 1.0035807291666667, 13.463324652777779, 85.53309461805554, 14.466905381944445)
soccer02_2351.png : (0.7816840277777779, 83.2421875, 0.17078993055555555, 15.805338541666666, 84.02387152777777, 15.976128472222223)
line_soccer_00239.png : (0.6865530303030303, 76.17760942760943, 0.6282617845117845, 22.507575757575758, 76.86416245791246, 23.135837542087543)
soccer02_2376.png : (0.6921657986111112, 86.61089409722223, 0.3254123263888889, 12.371527777777777, 87.30305989583333, 12.696940104166664)
line_soccer_00253.png : (0.21569865319865322, 79.3448021885522, 0.1428872053872054, 20.296611952861955, 79.56050084175084, 20.43949915824916)
